Category,Name,Price,Colors,Image,Product Link
Men,Linen-Blend Shirt,$ 74.99,Cerise,https://image.hm.com/assets/hm/c0/f1/c0f1acdeecb24b350057aa8440f8d2af636a893f.jpg,https://www2.hm.com/en_us/productpage.1272745002.html
Men,Pima Cotton Shirt with Box Pleats,$ 69.99,Cream,https://image.hm.com/assets/hm/c1/44/c1446a7e24071788717b2820ccdbdbe448ae1e01.jpg,https://www2.hm.com/en_us/productpage.1272746001.html
Men,Loose Fit Hooded Jacket,$ 29.99,"Black, Gray melange, Light beige, Dark blue",https://image.hm.com/assets/hm/0a/11/0a11415d425a0f392d6fec669790b7181e53d24f.jpg,https://www2.hm.com/en_us/productpage.1011890001.html
Men,Cotton Bermuda Shorts,$ 69.99,Beige,https://image.hm.com/assets/hm/62/65/6265d6d36709cad83177d07235c7fb878f35765f.jpg,https://www2.hm.com/en_us/productpage.1290553001.html
Men,Bootcut Wool-Blend Pants,$ 109.00,Black,https://image.hm.com/assets/hm/57/65/57651674469f0a81a11a66ed7bab4cab483fb794.jpg,https://www2.hm.com/en_us/productpage.1272763001.html
Men,Pima Cotton Resort Shirt,$ 54.99,"Black, Beige",https://image.hm.com/assets/hm/0a/dc/0adc56aa3e3e05654343c3c05921556b85e3d607.jpg,https://www2.hm.com/en_us/productpage.1272747002.html
Men,Pima Cotton Resort Shirt,$ 54.99,"Beige, Black",https://image.hm.com/assets/hm/30/37/3037279836b69549731fedde7c2e256d6d7ca7e4.jpg,https://www2.hm.com/en_us/productpage.1272747001.html
Men,5-Pocket Textured-Weave Pants,$ 99.00,Beige melange,https://image.hm.com/assets/hm/ca/c4/cac4a786ddf6151038309caf456b3dc2491390b0.jpg,https://www2.hm.com/en_us/productpage.1290702001.html
Men,5-Pocket Carpenter Pants,$ 89.99,Beige,https://image.hm.com/assets/hm/2b/d6/2bd6f19bc3a14e5fedbb89dc6864a2ddcea9aa23.jpg,https://www2.hm.com/en_us/productpage.1272764001.html
Men,5-pocket leather trousers,$ 219.00,Black,https://image.hm.com/assets/hm/23/a2/23a2700333bb3618a59a613de67e2727b5806424.jpg,https://www2.hm.com/en_us/productpage.1272769001.html
Men,3-pack Slim Fit T-shirts,$ 28.99,"Black, Light blue/light beige/white, Green/dark gray/navy blue, Light blue/white, Beige/blue/brown",https://image.hm.com/assets/hm/6b/5c/6b5cadf12a4b7a1065626a94996215f0f71bada5.jpg,https://www2.hm.com/en_us/productpage.0578630003.html
Men,Oversized Fit T-shirt,$ 9.99,"Light beige, Brown, Yellow, Black, Pink",https://image.hm.com/assets/hm/15/a0/15a02f5608a5a42e942028a55155bb83a946e8ea.jpg,https://www2.hm.com/en_us/productpage.1074658040.html
Men,Slim-Fit Suit Pants,$ 39.99,"Black, Navy blue, Beige, Dark gray, Navy blue",https://image.hm.com/assets/hm/56/2d/562dc8ea050d38bfa73c91bc2334ad084893b36d.jpg,https://www2.hm.com/en_us/productpage.1252892001.html
Men,Loose Fit Sweatshirt,$ 14.99,"Taupe, Dark blue, Black, Light beige, Brown, Light gray melange, Pink, Yellow, Dark green, Sage green, Beige, Brown, Cream, Light gray melange, Light gray",https://image.hm.com/assets/hm/96/83/968379bd3498d9d14141dbd04a23f8d0bfd4890c.jpg,https://www2.hm.com/en_us/productpage.0970818079.html
Men,Loose Fit T-shirt,$ 17.99,"White/Keith Haring, White/Vincent van Gogh, Black/Kodak, Black/Twin Peaks, White/Red Hot Chili Peppers, White/Discovery Channel",https://image.hm.com/assets/hm/88/18/88182d234a0ea9783932a44a293dc897c77cd82f.jpg,https://www2.hm.com/en_us/productpage.0972640124.html
